Topic,Count,Name,Representation,Representative_Docs
-1,8540,-1_tea_it_the_and,"['tea', 'it', 'the', 'and', 'to', 'this', 'of', 'coffee', 'is', 'in']","[""My husband and I both really loved this coffee! You won't be disappointed. It is not too dark and not too mild either and it has a really distinct flavor which you will love! The only thing is that it is kind of expensive (to buy it all at once) only not when you consider what it would cost in the store in those 12 ounce bags! that would come to about $6.80 a bag, so really it's NOT a bad price! I'm going to have to get some more!"", ""Diet Cranberry Raspberry - The BEST flavor I've tried yet. It's just sweet enough, great flavor, and calorie free. I always have at least three bottles of this in my cabinet at all times.<br /><br />Orange - Very sweet but good. I'm not a fan of orange soda so that's probably the only reason I don't love this.<br /><br />Lemon-Lime - Again, very sweet. It has a good sprite-type flavor though so I went ahead and tried the diet version as well to see if that would be a staple in our house.<br /><br />Diet Lemon-Lime - It's not an all time favorite but it's good. I have a bottle of this usually for whenever I'm craving something different or something a bit more refreshing and I'm tired of plain water.<br /><br />Cream Soda - WAY too strong. I love cream soda and so I didn't expect any issues with it but just the smell when opening the bottle was enough to make me slightly sick to my stomach. And I'm not exaggerating. I actually threw out the entire bottle after one sip. It has an almost alcoholish undertone to it that doesn't help at all. Gross.<br /><br />Root Beer - Not even close to as bad as the cream soda but slightly reminiscent. I did drink the entire sample that came with the Sodastream but do not plan to buy a bottle of it even though I am a huge fan of root beer.<br /><br />Cola - I bought this to act as an emergency back up for when my husband wanted a rum and coke and didn't have any coke in the house. It tastes a bit like off-brand diet cola to me, probably because of the Splenda. This is very off-putting only because there is so many calories in this and you don't even get a calorie-laden taste. Hahaha. This will continue to be held for those emergencies but we won't be drinking it by itself at all.<br /><br />Grape - This one actually surprised me because I was so prepared not to like it. It's a bit on the sweet side but still much better than many others. I've been putting about 1/4th the amount of syrup in less than called for and it helps cut the sweetness a bit but after that it starts to make the flavor taste watered down. I wish I could find a diet version of this. Not sure if it exists or not but I can't find it on Amazon if it does.<br /><br />I'll update this as I try more. I am cautiously optimistic about the diet ginger ale so that will be my next purchase."", ""I bought this tea as a gift for someone who had it at a tea and liked it. Since it came in six canisters, they gave me one.<br /><br />I was expecting white tea. This is not a white tea. It is not a good Ceylon tea either. It is easily overpowered anything you add to it. The tea tastes like water with a very sight hint of pomegranate. Even though the tea liquor is very dark, no flavor. This is advertised as a white tea but it isn't. When you brew a decent white tea, no matter how much tea you use, it still stays light and has a grassy, nutty taste. This is a Ceylon but not in the English Breakfast sense because it did not have enough edge like a good Ceylon or Assam have.<br /><br />When brewing it, I brewed it like a white tea. 160 degree water. It turned dark brown immediately so i knew it wasn't a white tea. The next time i made it i brewed it like a straight up black tea. No flavor. Tried two bags. Still not great. Watery with a very, very sight hint of a fruity taste in an 8oz cup.<br /><br />It comes in a round canister like Republic of Teas but inside is a vacuum sealed aluminum bag with all 50 of the tea bags smashed together. Inspecting the bags found very ground up tea powder. After brewing, no leaves in sight, just a lump of tea dust. I guess this is why it turned color so fast.<br /><br />I take tea with no sugar or milk. I guess if you add enough sugar, any tea can taste decent. This tea just didn't work for me on any level.<br /><br />You may want to try the Rishi or Bentleys. They are more expensive but they taste better. You may be very underwhelmed by this tea compared to them.""]"
0,770,0_dog_food_dogs_her,"['dog', 'food', 'dogs', 'her', 'she', 'he', 'wellness', 'canidae', 'foods', 'his']","[""My dog is a 62lb English Bulldog/German Shepherd mix that repeatedly suffers from allergies, especially food allergies. He can also be a bit of a picky eater when it comes to his food so finding the right mix can often be difficult. While he loves just about any treat, I always have reservations about trying new food. Unfortunately, a large majority of popular dog foods today are filled with terrible ingredients not to mention carrying a high price tag. I'm always willing to try a new food so here are my thoughts on PURINA Beneful Original Dog Food;<br /><br />Pros<br /><br />+ Dog liked it and gobbled it up.<br /><br />+ Resealable Ziploc style bag.<br /><br />Cons<br /><br />- Filled with tons of poor ingredients for your dog such as Ground yellow corn, chicken by-product meal, corn gluten meal, whole wheat flour, animal fat, soy flour, sugar, propylene glycol, meat and bone meal, animal digest, added color (Red 40, Yellow 5, Yellow 6, Blue 2), garlic oil, menadione sodium bisulfite complex. Artificial colors? Seriously? Do you really think the dog cares what color the food is when they eat it? Who are we trying to appeal to here, the dog or the person?<br /><br />- $22 is a bit expensive for a 15.5lb bag.  This food is often much cheaper at big box retailers and grocery stores.<br /><br />- Bag is plastic and currently not recyclable.<br /><br />My dog really enjoyed PURINA Beneful Original Dog Food.  However don't we all enjoy food that's bad for us? Unfortunately, that's exactly what this dog food is, bad for your dog. Someone said in a previous review if my dog was reviewing this food it would get 5 stars and my dog would agree with that. Lucky for him I know what's good for his health and PURINA Beneful Original Dog Food isn't it. With so many questionable and downright poor ingredients it's hard to really recommend this food for your dog. I definitely wouldn't purchase it again. Our current food is Nature's Domain Turkey Meal and Sweet Potato which is sold at Cost Co. It contains no potentially harmful ingredients, settles very well with my dog and is only $30 for a 25lb bag. If you're looking for a good healthy food, I recommend Nature's Domain brand or if you want to better educate yourself on what's actually in your current dog food I suggest visiting dogfoodadvisor.com. It's a great site that lists nearly all dog foods, breaks every ingredient and its properties down and gives a final overall rating on the food's quality."", 'My dog had a good result with this food, but it wasn\'t what I expected. My veterinarian wanted my dog to lose weight because my dog had no indentation at his waist or under his belly.  I tried <a href=""http://www.amazon.com/gp/product/B003P9XFV4"">Blue Buffalo Longevity Dry Food for Adult Dogs, 24-Pound Bag</a>, but his physique never improved and his weight never went down. For both weight-loss foods, I used a calorie-determination formula instead of the feeding guides. For both foods, the feeding guides on the bags recommended a lot more food than the formula (see formula at end of review.)<br /><br />Many dogs will not drink enough to process a very high protein dog food like Premium Edge (49% protein) even when fresh water is offerred. I suspect dogs may limit their drinking to accommodate a potty schedule.  At  my dog\'s 2 daily feedings, I add  enough warm water to just cover his kibble. (When I first added the water, my dog had accidents because I feed him after his morning exercise walk.  I had to change his feeding to 30 minutes before his walk.)  I let the food it soak on the counter for 2 minutes, and then I stir in 2 heaping table-spoons of low-sodium canned green beans (10 cals.)  My dog eats the food with gusto and seems to feel full after he eats. He begs less and is happy with small treats. On the other weight-loss food, he was acting full at first but, after a few weeks, he began begging for food right after he ate, even with the water and green beans.<br /><br />I also should say that I walked my dog about a mile per day on both weight-loss foods.<br /><br />When the vet saw my dog 6 weeks after switching to Premium Edge, I though he was going to tell me to go back to my dog\'s old food because, on my scale at home, he gained 3 pounds.  I was so frustrated.  To my surprise, the vet told me that my dog was in excellent condition.  The weight gain was due to higher muscle mass! His waist and belly were not flabby at all anymore. I guess the high-protein levels in this food are giving my dog what he needs to grow muscle, and the increase in muscle mass enables him to burn the fat more efficiently. He may have been so hungry on the other food because he needed more protein. I am so happy with the results that I am continuing to feed my dog the same food at the same amount indefinitely. He is still very satisfied with his food.<br /><br />If you are not willing to exerise your dog every day, I don\'t know if you will get this result, but I think it is a fabulous food if you are committed to walking your dog a long way each day, rain or shine.  It is an economical yet high-quality food.<br /><br />At 49%, this is the highest-protein in a dry dog food I have ever seen. Not even <a href=""http://www.amazon.com/gp/product/B003P9XGDG"">Blue Buffalo Wilderness Grain Free Dry Dog Food, Salmon Recipe, 24-Pound Bag</a>, which is grain-free,  comes close to this food in protein.  To get this much protein, I ordinarily would have to feed wet food.  There was no way I could afford wet food for my dog--it would cost $120 per month to feed my dog a quality, high-protein wet food. For a low-quality (and lower protein) wet food, it would cost $45/month, whereas Premium Edge dry food costs me about $25/month.<br /><br />In addition, this food is high in fibre, grain-free, low fat, and contains omega-3 and omega-6 fatty acids, probiotics, and chelated minerals (which are more bio-available than minerals that are not ""chelated"" to protein.) At 347 calories per cup, it is it is as low in calories as <a href=""http://www.amazon.com/gp/product/B003P9XFV4"">Blue Buffalo Longevity Dry Food for Adult Dogs, 24-Pound Bag</a>, but Premium Edge has more than twice the protein and no calories from grains.<br /><br />As with every dog food label I have ever read, the feeding guide on Premium Edge over-feeds the dog.  If I followed the instructions on the Premium Edge bag, I would be feeding 2 1/4 cups per day. According to Waltham Centre for Pet Nutrition, the calories a dog should consume to lose weight is computed as follows: (1)Determine your dog\'s ""ideal"" weight with your vet or by looking up your dog\'s breed (or predominant breed) with the AKC. If your dog ever appeared to be a healthy weight, you can use that past weight as an ideal weight. Convert his ideal weight in pounds to kilograms by dividing the pounds by 2.2. For my dog, 44 lbs over 2.2= 20 (2) Multiply her weight in KG by 30. For my dog 20*30 is 600. (3)Add 70. In my dog\'s case, 600+70=670 calories per day. This food is 347 calories per cup, so 670/347 = 1.93 cups per day is the most my dog should be fed. The Premium Edge feeding guide recommends 2 1/4 cups per day, which is 781 calories.  A small difference in serving size makes a difference of over 100 calories.  Ironically, my dog is well-above his 44 lb ""ideal"" weight, but he is at a new ""ideal"" weight with heavy muscle mass.', ""I have a four year old dog who loves Pedigree Canned Dog food.  We have been using it the last six months.  I have purchased some of the most expensive canned dog foods at a local pet store and he will not eat the stuff.  If I have a bag of high quality kibbles and mix it in with the Pedigree, he will not eat his food.  We tried Wellness, Blue Buffalo, Eagle Pack, Holistic Select, Innova, Merrick, and Natural Balance.  I don't know what is in these higher quality cans of dog food he does not like.  Maybe too many vegetables??  He will even hide and pout if I put that stuff in front of him.  One time I left the food out for 15 min., put it away, and tried the next day.  He just would not eat the food.  He just loves the smell and taste of Pedigree, and he will even eat Alpo on occasion, but he will not eat the expensive dog foods, which I am more than willing to purchase for him.  I talked to two vets about this.  They tell me dogs go by odor.  The worse something smells the more they like it.  This is why many dogs will roll in dead things out of doors.  We do try to balance out his diets with apples, carrots, etc., if he will eat them, plus the dog gets a vitamin with minerals each day.  Of course he will eat cooked meat if I give it to him, and often we will give this to him with some rice or whole wheat pasta mixed in.  If someone can tell me how to get him to eat the better canned or kibble dog food that so many folks think dogs should be on, then I would like to know this.  Also, the reason we started using Pedigree is because we have some friends (and their relatives) who have had many dogs over the years and feed them Pedigree.  These dogs have lived to a ripe old age.  The biggest thing that got them down was arthritis, but the Pedigree never killed them.  So, this dog food may not be high quality, which I agree when compared to Blue Buffalo, etc., but it does not seem to affect their life span.  I am sure there will be folks who will tell me differently, but for those folks I know personally, they have not found any problems with this food for their dogs.  Amen.""]"
1,648,1_bars_bar_protein_snack,"['bars', 'bar', 'protein', 'snack', 'kind', 'these', 'granola', 'are', 'chocolate', 'nuts']","['These bars are not exactly ""mixed berry."" I was expecting berries, but could not quite identify the flavor when I tasted the first bar. I noticed that the bars are crunchy, not too sweet, and have a chocolate flavor.<br /><br />After, getting over my surprise at the taste, I read the list of ingredients. The ""berry\' flavor is actually cherry. Also, there is cocoa in the bars. The sugar content is low, about one-quarter. Many granola bars are one-third or more sugar, which makes them softer and sweeter.<br /><br />I have come to like these bars. The taste reminds me of chocolate-covered cherries. This product is not for those who have a sweet tooth. However, I prefer the low sugar content. They make a good afternoon snack. The price is good, just over twenty dollars for six packages of five bars, or thirty bars.', 'When I first bit into one of these bars I was expecting it to taste very sweet, but it is not real sweet like a candy bar. It tastes good, but not super sweet, so if you like stuff that way, as I do, then this is the bar for you. Most bars like this have too much sugar, this does not. Could taste better with more sugar, but I think it is better just like it is.', ""This bar is a very nice snack! The bar is not hard or dry like most granola bars, but is not too soft either. This is a very delightful & chewy granola bar that has a nice size to it!<br /><br />The bar itself looks to be composed mostly of nuts. I first expected something closer to a payday candy bar for flavor, but that changed when I ate one of these Planters Big Triple Nut bars. These bars are not simply just a bunch of peanuts, or plain old granola bars. It is a wonderful blend of both with a nice honey flavor.<br /><br />I enjoyed these bars and find them to be a useful snack when I am a little hungry, but don't have time to eat yet. A much better alternative to a sugar filled candy bar. Also, they are excellently priced! Each 8.1 Ounce box has 5 bars, each weighing in at 1.6 oz ... so, you get 50 bars! Not bad!""]"
2,546,2_treats_dog_dogs_training,"['treats', 'dog', 'dogs', 'training', 'treat', 'them', 'loves', 'these', 'she', 'they']","['These little treats are his favorite treat and he loves all three flavors but especially the peanut butter flavor.  They are great for training or just because.', 'I received these Best Buddy Bits for my dog about 6 weeks ago - and she absolutely loves them.  At 12 years of age, she is far from training age where I could use these as training treats, but historically, she has loved chicken flavored treats more than any other flavor of treats.  That is why I bought these treats, and she has loved me for it from day one.  She has a habit of prancing on her hind legs over to me when I get out her treats and she hears the bags crinkling.  However, with these treats she runs towards me and starts standing on her hind legs so excited to get these treats.  I have never seen her so excited to get a treat in her 12 years with me.  I think that goes to the quality of the treats, and to her love of her master when I give her these treats. LoL.<br /><br />My dog is a small Rottweiler at about 65 pounds.  However, that is big enough that I have to give her about 20-25 bits each time I give her these treats.  Times three times a day, that is a lot of treats.  I am certainly glad I purchased four bags of these Best Buddy Bits.<br /><br />I will have to tell you that until I received my shipment from Amazon, for some reason, I thought these treats were named Best Buddy BITES.  I do not know how I made such a blunder.  Imagine my embarrassment (in front of my dog since she was the only one around) when I realized that I had been wrong this entire time. Oh well, at least I am certainly straight on the name now!<br /><br />One last item, the Crude Fat (min) level of these treats is 13%, it is a bit more than I usually like to give my dog, but I will overlook it on these treats because she absolutely goes bonkers for these treats.  The things I do for my dog.', 'My dog loves these treats and I love them because they are small and healthy. They are great for training treats or just snacking. All the favors are a hit with my dogs.']"
3,536,3_cat_cats_food_dry,"['cat', 'cats', 'food', 'dry', 'canned', 'wet', 'wellness', 'feast', 'kitten', 'he']","[""It's cat food. If you have a picky cat, or you just like to spend money on soft mushy food for your cat, then this is the food for you.<br /><br />Or maybe.....just maybe, you yourself like to eat cat food. Well this is cat food."", 'I did a lot of reading on cat food after my picky Siamese mix started losing weight slowly since she refused to eat anything my local grocery stores offered, including the more expensive brands.  No matter how much I seemed to spend on what passes for ""regular"" cat foods she looked terrible.<br /><br />It is definitely a dense food, but that just means I fill up the bowl less often - usually once a day, down from two or more when my younger cat was eating constantly because the food I gave them had so little real food in it!  From the way my cats\' condition has improved, it appears to be a very healthy food as well.  I saw the difference in my Siamese mix\'s coat less than a week after switching from what was basically fish flavored corn cereal to this - her coat is shiny again and she has definitely gained back some weight on Blue Wilderness.  My cats will push each other out of the way to have the first bite after their bowl is empty.  My picky eater even eats Blue Wilderness kibble straight from the floor if it\'s given as a treat.<br /><br />I have tried several other ""holistic"" and ""real food"" cat foods, but this one is definitely the most preferred by me (Amazon.com makes it very affordable compared to my local pet stores) and my two cats.  I am happy to have found a somewhat reasonably priced, nutritious cat food - most cat foods belong in the cereal aisle or are so expensive that I would probably have to sell my car to afford them.  Blue Wilderness strikes a nice balance.<br /><br />**UPDATE**<br />When I got my new kitten recently (that makes three cats total now), I noticed that Blue Wilderness is now making a kitten formula of this food (not yet available on Amazon.)  I picked some up at a local Petsmart for the new arrival.  This food must have a good reputation outside of my own opinion, because when I told my vet what I was feeding my kitten, he put away a free sample of a lesser quality ""vet recommended"" food he had offered me without another word.<br /><br />I have tried many other grain free foods over the last year or so and Blue Wilderness is still my go-to food.  I\'ve never had any issues and my cats enjoy both the bagged and canned varieties.  It\'s nice that it has a lot of flavors to rotate through so that they don\'t get bored.', 'My cats do like the food, although when I first started to feed them they kind of picked at it. Now I feed them only this food and a little bit of the dry food from this company and its no problem. My one cat was over weight and he is now more active and running around with the other cats and he looks much healthier and younger. I have one cat that vomits a lot and have had to buy special vet food, which helped him stop vomiting and he can eat this food too with no problem. I will say that the cats do like the chicken and herring recipe better, I think they like fish in general more then poultry. I do highly recommend this food, its worth the price, considering the vet food is just as expensive and there are lots of pork by-products and low quality grains in the ingredient list.']"
4,468,4_kcups_kcup_keurig_coffee,"['kcups', 'kcup', 'keurig', 'coffee', 'cup', 'cups', 'bold', 'grounds', 'roast', 'strong']","['Not real K-cups. They are horrible and leave ""coffee grounds"" in your coffee. Its a shame these are the only subscribe and save Kcups, I will now be looking at ordering my kcups elsewhere.', 'We love our Keurig machine but found the kcups to be expensive.  This brand of coffee offers a strong, bold cup of coffee and at a lower price point that most of the others.<br /><br />We have the box of 80 delivered every month, very convenient.', 'I decided to try a box because Costco carries this and they haven\'t had my favorite Tully\'s Kona for a while. It lives up to the ""light roast"" description and brews one of the lightest (you might also say \'weakest\') cups of coffee I\'ve had in any K-cup. Even using two k-cups didn\'t help much. It\'s way too light for my tastes; glad I didn\'t buy the box of 88 at Costco.<br /><br />So, if you like a lightly roasted and somewhat weak cup of coffee, you\'d like this. The flavor is good. But, k-cups run a little on the weak side in general and this one is simply too light for me.<br /><br />Amazon did ship fast and had a good price.<br /><br />UPDATE: Some reviews here don\'t seem to understand the terms being used.<br /><br />""Light Roast"" is a description of how long the coffee beans are roasted. Light roaster beans do not have the strong and sometimes bitter flavor of beans that are roasted for longer times, but they retain more of the subtleties of their flavor.  It does produce a `lighter\' cup of coffee.<br /><br />""Extra Bold"" is a term Keurig/Green Mountain uses to describe a K-cup that has more coffee grounds in it than normal K-cups.  More coffee grounds makes for a stronger cup of coffee. The strength of the coffee also depends on how large a cup you brew.<br /><br />You can have a ""light roast"" coffee in an ""Extra Bold"" K-cup, but the result will still be a coffee with a lighter flavor.<br /><br />Personally, I like a medium roast; a nice balance between good coffee flavor and that strong coffee bite.']"
5,451,5_chocolate_cocoa_chocolates_dark,"['chocolate', 'cocoa', 'chocolates', 'dark', 'hot', 'milk', 'bar', 'cacao', 'carob', 'it']","[""I prefer dark chocolate, but this has a good taste. I'm happy with it, even though it is milk chocolate."", ""Not too long ago, my wife picked up a bar of Green & Black's Milk Chocolate. To make a long story short, It was the best milk chocolate either of us had ever tasted. I've always preferred dark chocolate to milk chocolate, but the Green & Black's milk chocolate came very close to being a dark chocolate, in my opinion.<br /><br />Well, the next time we returned to the store to pick up another bar we noticed they also had Green & Black's Organic Dark Chocolate (70 % cocoa, almost twice that of the milk chocolate bar). My mouth watered at the thought.<br /><br />Mmmmmm. Yum! This stuff is incredible! It's not sweet, at all. But it's not really bitter either. It's just so (how can I say it?)  chocolatey! Sorry, but I'm at a loss for words. Let's just say, it's the best dark chocolate I've ever tasted. It's rather hard and the bar snaps when you bite into it, but when you chew it just floods your mouth with a deep, dark chocolate flavor. You have to be something of a dark-chocolate fan to enjoy this. My wife says it's good, for example, but she still prefers the milk chocolate. If you're a dark chocolate lover, give this a try! Five Stars!<br /><br />Gary Peterson"", 'My bag just came with the Milk Chocolate and Caramel, Dark Chocolate Raspberry, Dark Chocolate Mint, and Milk Chocolate (NOT milk chocolate and peanut butter).']"
6,357,6_cookies_cookie_these_are,"['cookies', 'cookie', 'these', 'are', 'chocolate', 'ahoy', 'they', 'them', 'soft', 'were']","['If you are looking for a sweet, try this cookie.  It is extra light<br />and has a nice crunch to it.  I buy these cookies by the carton.<br />They last for one month between my husband and I.  He likes cookies<br />with his morning coffee.  We are both satisfied with these cookies.<br />Would buy them again and again.<br /><br />Mary', 'This is a nice new twist on Chips Ahoy cookies. These cookies are a much, much softer version of regular chocolate chip cookies, to the point where the packaging has a big ""gooey"" label on it. After having a few, I can definitely agree that these are exceptionally soft cookies, much softer than the regular ""soft"" Chips Ahoy cookies. However, it seems like a lot of the other reviewers have complained that these cookies aren\'t ""gooey"" enough. I definitely don\'t agree. For a mass-produced, mass-marketed Nabisco product shipped to thousands of stores, I imagine this is about as gooey as you can make a cookies and still have it last to market. It\'s not quite ""melting in your mouth,"" but it\'s not too far from that either. The flavor is also much richer than regular Chips Ahoy cookies. These have fudge in them, so there a much richer chocolate taste. Overall, if you like chocolate Chips Ahoy cookies, I suspect you\'ll love these. If you are picky about how ""gooey"" your cookie is, then store-bought just aren\'t ever going to be the same as homemade cookies in that respect.', ""First let me say that I am big fan of regular crunchy Chips Ahoy, and I esp. love the Chips Ahoy cookies with Heath bars in them, so I was excited to try these out.<br /><br />Although my cookies arrived more as bits of cookie in a bag, I wasn't upset because that can happen, and bits of cookies can taste every bit as good as whole cookies.<br /><br />Except in this case.  First, the cookies that were whole were quite a bit on the tiny side, and at a serving size of 2 cookies, you'll be getting 150 calories and 7 grams of fat.  That would be acceptable if these cookies were delectable.<br /><br />But they're not.  I didn't like them at all.  I thought they weren't very flavorful, and the chocolate fudge left a lot to be desired.  But worst all was the bitter, acrid aftertaste.<br /><br />I think Nabisco would do well to go back to the drawing board on these cookies, because what they have here is not working.  I'm sorry.""]"
7,329,7_tea_teas_box_oolong,"['tea', 'teas', 'box', 'oolong', 'it', 'puerh', 'was', 'this', 'amazon', 'is']","[""I love this tea.  It's very smooth and has a wonderful flavor, hot or cold.  Great tea!"", ""I just love this tea.  It's the only tea I drink.  It has that nice smooth flavor--not like black tea.  I would recommend this product to anyone."", ""I need to say first that I'm a big fan of Numi brand tea.  Yes, it's more expensive than other teas, but I find the price is more than deserving for the quality.<br /><br />This particular variety has a wonderful flavor.  It contains the earthy, rich flavor of the puerh, with the floral (almost sweet) flower of the magnolia.  The red magnolia and brown puerh gives the tea a deep burgundy color, which is really quite nice.  Puerh by itself can be a bit strong, but combined with the herbal magnolia makes the flavor just right.  I don't usually put milk in my tea, but it went really nicely with numi puerh tea.  I also appreciate that it's organic and contains no pesticides.<br /><br />This tea may seem a little expensive, but all in all I think it's a very reasonable price.  You're getting 32 tea bags for $14, or 43 cents each.  That's not all that bad.  Whenever I make tea, I make a whole pot and use two tea bags, which ends up being about 4 cups.  All in all, I highly recommend this tea and will be enjoying each cup I brew.""]"
8,296,8_baby_son_pouch_old,"['baby', 'son', 'pouch', 'old', 'daughter', 'she', 'pouches', 'loves', 'he', 'food']","[""Great product.  For my older daughter, I made all organic baby food homemade.  Since we moved after the birth of my second child, we aren't able to get a nice fresh variety of organic fruits and veggies like we used to, so I decided to try buying organic baby food instead. My kids love these pouches (give or take a few of the flavors). I love the pouch packaging for easy clean-up, compact travel and not having to worry about carrying glass jars around.<br /><br />Both my infant (9 months old) and toddler (2.5 years old) love this flavor of Ella's the best, much to our surprise.  I think it's probably b/c it one of the few foods without bananas added.  It is a bit runny, so keep that in mind when using a spoon to feed.  But since it's so runny, it's good for younger ones that aren't used to thicker solids.<br /><br />The Spinach, Peas and Pears from Plum Organics is similar in taste, but is a little thicker, if the consistency of this one isn't right for you.  Also, we often mix this with some rice cereal to thicken it up if needed.<br /><br />I would recommend buying the variety pack to see which ones your kids might like.  Also, if they don't like it at first, don't give up, give them some time and try it again later.  They might change their minds."", 'The short version:  These would probably be fine and palatable to a baby/toddler.  If you are looking for food for an older kid with eating issues/food aversions/texture issues etc... they are smooth as regular apple sauce, but the flavor made my son spit it out.  I thought they tasted good, but I\'m not the one with the food aversions (or at least not the same ones)...  My son did eat plenty of green veggies as an infant that he won\'t touch now (even if pureed), so your mileage may vary.<br /><br />Our family regularly consumes more of these baby food ""pouches"" and fruit sauce ""pouches"" than I imagine most families who have an actual baby at the suggested ""stage"".  My son has autism and has quite a few issues with eating so not only does something have to taste good, it has to be uniform in consistency, and it has to look and smell acceptable to him.  He is 8 and he will eat baby food puree (Earth\'s best in the little glass jars) that doesn\'t have any ""gummable"" chunks that older babies usually get.  Add in that we have G6PD Deficiency and follow strict dietary rules and there are few ""convenience"" foods that are suited to our needs...<br />My son adores the Revolution Foods pouches but will not touch home-made apple sauce (even if hidden in reused baby food jars)... Some of the Ella\'s Kitchen pouches he adores and others he hated so much that he will go through the entire fridge shelf of pouches just to make sure none of those flavors have infiltrated...<br /><br />I was hoping that this Baby Gourmet Simple Puree Juicy Pear and Garden Greens pouch would be a great way to get some Broccoli and other green goodies in his belly.  They do have some added ascorbic acid, which is contraindicated in high doses for folks with G6PD deficiency, but I calculated the potential dose and for us (your mileage may vary and you should consult your pediatrician or hematologist about ascorbic acid and any other contraindicated substances) it was ok.  My spouse joined us in the pouch taste test.<br /><br />I think they taste good- like pear-apple sauce with a hint of broccoli/greens.  It kind of reminded me of when my mom would serve us pork chops and potatoes, apple sauce, and spinach for dinner when I was a kid (sans the pork chops).... My husband thought they were just as good as any of the other ones we have tried.<br /><br />My kid took two slurps of it and ran to the toilet to spit it out.  He declared that it tastes like the apple sauce went bad.  I disagree, but as far as what purees come into our house, his opinion is very important.  I think that if I diluted one of these with two regular apple sauces it might ""dampen"" the loudness of the veggies enough for him to eat it but I\'m not even sure about that.  To me the green flavors weren\'t that ""loud"" but they definitely made this ""not pearsauce/applesauce blend""...  Definitely not a ""sneaky chef"" sort of food for our family, but I\'ll probably try other flavors out as they are still an extra little boost of goodness for adults on the run.', ""I have an 11 month and 3.5 year old. These pouches make for a great yummy snack. My kids love to eat them right out of the pouch. My older child eats her whole veggies and also these pouches. My baby, is not a huge veggie fan like my eldest.. she loves these however. When I cook for the baby if I don't hide the veggies well, she will reject the meal. So, when I can't get my baby to eat the organic veggies I have made or when I need a quick snack while shopping or out and about, Ella's takes great care of us! Def a must have. Oh, I just give my baby the whole tube and she sucks it all out.. great for the baby who had always refused me feeding her.""]"
